Basisinformationen,,,,,,Chatbot vorhanden?,,Informationen zum Chatbot,,,,,,
Name,Einwohner,Bundesland,PLZ,URL Homepage,URL Serviceportal oder Service-Seiten,Chatbot auf Homepage (y/n),Chatbot auf Serviceportal (y/n),115-Chatbot?,Indizien zum Chatbot (Zusatzinfos gefunden?),Regelbasiert?,LLM?,URL Nutzungsbedingungen,URL Datenschutz,"URL Bot-Information (Erklärseiten, Pressemitteilung, etc.)"
Aachen,252136,NRW,52062,http://www.aachen.de/,https://serviceportal.aachen.de/home,nein,ja,,,,,,,
Aalen,68816,BW,73430,http://www.aalen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Amberg,42534,BY,92224,http://www.amberg.de/,kein dezidiertes Portal,ja,ja,,,,,,,
Annaberg-Buchholz,19382,SN,9456,http://www.annaberg-buchholz.de/,https://amt24.sachsen.de/zufi/organisationseinheiten/6007586,nein,nein,,,,,,,
Ansbach,42221,BY,91522,http://www.ansbach.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Aschaffenburg,72444,BY,63701,http://www.aschaffenburg.de/,https://digital.aschaffenburg.de/online-dienste/,nein,ja,,,,,,,
Auerbach/Vogtland,17759,SN,8209,http://www.stadt-auerbach.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Augsburg,301033,BY,86143,http://www.augsburg.de/,https://www.augsburg.de/buergerservice-rathaus/buergerservice,nein,ja,,,,,,,
Bad Kreuznach,52529,RP,55545,http://www.stadt-bad-kreuznach.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Baden-Baden,57025,BW,76530,http://www.baden-baden.de/,https://www.baden-baden.de/buergerservice/,nein,nein,,,,,,,
Bamberg,79935,BY,96031,http://www.bamberg.de/,https://www.stadt.bamberg.de/B%C3%BCrgerservice/Onlinedienste/,nein,nein,,,,,,,
Bautzen,38140,SN,2625,http://www.bautzen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Bayreuth,74506,BY,95410,http://www.bayreuth.de/,https://www.buergerservice-portal.de/bayern/bayreuth,nein,nein,,,,,,,
Berlin,3755251,BE,10178,http://www.berlin.de/,https://service.berlin.de/,nein,nein,,,,,,,
Bernau bei Berlin,43685,BB,16321,https://www.bernau-bei-berlin.de/,https://serviceportal.dikom-bb.de/stadt-bernau-bei-berlin,nein,nein,,,,,,,
Biberach an der Riß,34008,BW,88400,http://www.biberach-riss.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Bielefeld,338332,NRW,33597,http://www.bielefeld.de/,https://service.bielefeld.de/,nein,ja,nein,,ja,nein,,https://www.bielefeld.de/datenschutzerklaerung,
Bochum,365742,NRW,44787,http://www.bochum.de/,https://serviceportal.bochum.de/,nein,nein,nein,,,,,,
Bonn,336465,NRW,53111,http://www.bonn.de/,https://www.bonn.de/vv/index.php,ja,ja,,,,,,,
Bottrop,118113,NRW,46236,http://www.bottrop.de/,https://www.bottrop.de/vv/index.php,nein,nein,,,,,,,
Brandenburg an der Havel,73609,BB,14770,http://www.stadt-brandenburg.de/,https://www.stadt-brandenburg.de/dienstleistungen,nein,nein,,,,,,,
Braunschweig,251804,NI,38100,http://www.braunschweig.de/,https://service.braunschweig.de/,nein,nein,,,,,,,
Bremen,569396,HB,28195,http://www.bremen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Bremerhaven,115468,HB,27576,http://www.bremerhaven.de/,https://www.bremerhaven.de/de/verwaltung-politik-sicherheit/buergerservice/buergerservice.26867.html,ja,ja,,von https://www.neuraflow.de/,,,,https://www.bremerhaven.de/de/datenschutzeinstellungen.93491.html#chatbot.,
Castrop-Rauxel,73795,NRW,44575,https://www.castrop-rauxel.de/Inhalte/index.php,https://serviceportal.castrop-rauxel.de/services/7,nein,nein,,,,,,,
Celle,70138,NI,29221,http://www.celle.de/,https://portal.celle.de/?search=,nein,nein,,,,,,,
Chemnitz,248563,SN,9111,http://www.chemnitz.de,https://www.dienstleistungsportal-chemnitz.de/dienstleistungsportal/,nein,nein,,,,,,,
Coburg,41842,BY,96450,http://www.coburg.de/,https://www.coburg.de/rathaus-und-verwaltung/online-dienste/index.php,nein,nein,,,,,,,
Cottbus,99515,BB,3046,http://www.cottbus.de/,https://service.brandenburg.de/service/de/verwaltungsleistungen/leistungen-a-z/?bus_areaId=10843,nein,nein,,,,,,,
Darmstadt,162243,HE,64283,http://www.darmstadt.de/,kein dezidiertes Portal,nein,nein,nein,,,,,,
Delitzsch,25244,SN,4509,https://www.delitzsch.de/,https://www.delitzsch.de/portal/seiten/dienstleistungen-von-a-z-900000010-27640.html?rubrik=900000001&naviID=reset1,nein,nein,,,,,,,
Delmenhorst,78385,NI,27749,http://www.delmenhorst.de/,https://serviceportal.delmenhorst.de/,nein,nein,,,,,,,
Dessau-Roßlau,79655,ST,6844,http://www.dessau.de/,https://service.dessau-rosslau.de/de/einstieg-in-das-serviceportal.html,nein,nein,,,,,,,
Dortmund,593317,NRW,44135,http://www.dortmund.de/,https://www.dortmund.de/services/,nein,nein,,,,,,,
Dresden,563311,SN,1067,http://www.dresden.de/,https://www.dresden.de/suche/anliegen.itl,nein,nein,,,,,,,
Duisburg,502211,NRW,47051,http://www.duisburg.de/,https://service.duisburg.de/,nein,nein,,,,,,,
Düren,93207,NRW,52349,http://www.dueren.de/,https://onlinedienste.dueren.de/,nein,nein,,,,,,,
Düsseldorf,629047,NRW,40213,http://www.duesseldorf.de/,https://service.duesseldorf.de/,nein,nein,,,,,,,
Eberswalde,41461,BB,16225,https://www.eberswalde.de/,https://www.eberswalde.de/buergerservice/dienstleistungen,nein,nein,,,,,,,
Eisenach,42408,TH,99817,http://www.eisenach.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Emden,50535,NI,26721,http://www.emden.de/,https://openrathaus.emden.de/,nein,nein,,,,,,,
Erfurt,214969,TH,99084,http://www.erfurt.de/,https://www.erfurt.de/ef/de/service/index.html,nein,nein,,,,,,,
Erkner,11970,BB,15537,http://www.erkner.de/,https://www.erkner.de/rathaus-und-buergerservice/buergerservice/anliegen-a-z.html,nein,nein,,,,,,,
Erlangen,116562,BY,91051,http://www.erlangen.de/,https://chatbot.erlangen.de/ aber kein Serviceportal - direkte Testumgebung!,ja,nein,,,,,,,
Essen,584580,NRW,45127,http://www.essen.de/,https://service.essen.de/home,nein,nein,,,,,,,
Esslingen am Neckar,94941,BW,73728,http://www.esslingen.de/,kein dezidiertes Portal,ja,ja,,,,,,,
Falkensee,44806,BB,14612,https://www.falkensee.de/,https://www.falkensee.de/onlinedienste,nein,nein,,,,,,,
Flensburg,92550,SH,24937,http://www.flensburg.de/,https://www.flensburg.de/Leben-Soziales/Einwohner-innenservice-von-A-Z/,nein,ja,,,,,,,
Forst (Lausitz),17855,BB,3149,http://www.forst-lausitz.de/,https://www.forst-lausitz.de/digitales-rathaus.163015.htm,nein,nein,,,,,,,
Frankenthal (Pfalz),49051,RP,67227,http://www.frankenthal.de/,https://www.frankenthal.de/stadt-frankenthal/de/rathaus/buerger/buergerservice/dienstleistungen/,ja,nein,,,,,,,
Frankfurt (Oder),58230,BB,15230,http://www.frankfurt-oder.de/,https://www.frankfurt-oder.de/Verwaltung-Politik/Verwaltung/B%C3%BCrgerservice-A-Z/,nein,nein,,,,,,,
Frankfurt am Main,773068,HE,60311,https://frankfurt.de/,https://frankfurt.de/service-und-rathaus,ja,ja,,,,,,,
Freiberg,40485,SN,9599,http://www.freiberg.de/,https://www.freiberg.de/stadt-und-buerger/buergerservice/anliegen-von-a-z,nein,nein,,,,,,,
Freiburg im Breisgau,236140,BW,79098,http://www.freiburg.de/,"https://www.freiburg.de/pb/,Lde/205252.html",nein,nein,,,,,,,
Friedrichshafen,62932,BW,88045,http://www.friedrichshafen.de/,https://www.friedrichshafen.de/buerger-stadt/rathaus-buergerservice/dienstleistungen-a-z/,nein,nein,,,,,,,
Fulda,69968,HE,36037,http://www.fulda.de/,https://www.fulda.de/buergerservice/buergerbuero,nein,nein,,,,,,,
Fürth,131433,BY,90744,http://www.fuerth.de/,https://www.fuerth.de/service-fuerther-rathaus/,nein,nein,,,,,,,
Gelsenkirchen,263000,NRW,45879,http://www.gelsenkirchen.de/,https://serviceportal.gelsenkirchen.de/,nein,nein,,,,,,,
